run_id,executor_type,threads,num_tasks,period_set,utilization,dag_depth,task_id,job_id,release_time,start_time,finish_time,response_time_us,lateness_us,missed
smoke_single,single,1,6,harmonic,0.600,3,2,58,84091023286,84121459787,84125844953,34821,-5178,0
smoke_single,single,1,6,harmonic,0.600,3,3,29,84091023286,84125873537,84134245745,43222,-36777,0
smoke_single,single,1,6,harmonic,0.600,3,0,190,83671023286,84134323745,84135423162,464399,454399,1
smoke_single,single,1,6,harmonic,0.600,3,0,191,83681023286,84137419037,84138512328,457489,447489,1
smoke_single,single,1,6,harmonic,0.600,3,1,102,83811023286,84138513912,84140385953,329362,309362,1
smoke_single,single,1,6,harmonic,0.600,3,0,192,83691023286,84148723953,84149735787,458712,448712,1
smoke_single,single,1,6,harmonic,0.600,3,0,193,83701023286,84157881162,84159017453,457994,447994,1
smoke_single,single,1,6,harmonic,0.600,3,1,103,83831023286,84159043828,84161091745,330068,310068,1
smoke_single,single,1,6,harmonic,0.600,3,2,59,84131023286,84161122287,84165204037,34180,-5819,0
smoke_single,single,1,6,harmonic,0.600,3,0,194,83711023286,84167476120,84168414078,457390,447390,1
smoke_single,single,1,6,harmonic,0.600,3,0,195,83721023286,84179236162,84180247245,459223,449223,1
smoke_single,single,1,6,harmonic,0.600,3,1,104,83851023286,84180253953,84182543328,331520,311520,1
smoke_single,single,1,6,harmonic,0.600,3,0,196,83731023286,84188179578,84189251745,458228,448228,1
smoke_single,single,1,6,harmonic,0.600,3,0,197,83741023286,84198547703,84199671078,458647,448647,1
smoke_single,single,1,6,harmonic,0.600,3,1,105,83871023286,84199675203,84201593495,330570,310570,1
smoke_single,single,1,6,harmonic,0.600,3,2,60,84171023286,84201594453,84205984287,34961,-5038,0
smoke_single,single,1,6,harmonic,0.600,3,3,30,84171023286,84206019953,84213481578,42458,-37541,0
smoke_single,single,1,6,harmonic,0.600,3,4,15,84171023286,84213482578,84230794703,59771,-100228,0
smoke_single,single,1,6,harmonic,0.600,3,0,198,83751023286,84230893912,84231965745,480942,470942,1
smoke_single,single,1,6,harmonic,0.600,3,1,106,83891023286,84231966662,84234079078,343055,323055,1
smoke_single,single,1,6,harmonic,0.600,3,0,199,83761023286,84237758828,84238739912,477716,467716,1
smoke_single,single,1,6,harmonic,0.600,3,1,107,83911023286,84238741162,84240695703,329672,309672,1
smoke_single,single,1,6,harmonic,0.600,3,2,61,84211023286,84240710287,84244743828,33720,-6279,0
smoke_single,single,1,6,harmonic,0.600,3,0,200,83771023286,84247604078,84248681953,477658,467658,1
smoke_single,single,1,6,harmonic,0.600,3,0,201,83781023286,84259186662,84260261245,479237,469237,1
smoke_single,single,1,6,harmonic,0.600,3,1,108,83931023286,84260270953,84262176995,331153,311153,1
smoke_single,single,1,6,harmonic,0.600,3,0,202,83791023286,84268269620,84269438828,478415,468415,1
smoke_single,single,1,6,harmonic,0.600,3,0,203,83801023286,84278982995,84280101578,479078,469078,1
smoke_single,single,1,6,harmonic,0.600,3,1,109,83951023286,84280102953,84282135120,331111,311111,1
smoke_single,single,1,6,harmonic,0.600,3,2,62,84251023286,84282135870,84286099662,35076,-4923,0
smoke_single,single,1,6,harmonic,0.600,3,0,204,83811023286,84286115662,84287149620,476126,466126,1
smoke_single,single,1,6,harmonic,0.600,3,3,31,84251023286,84287150870,84295611995,44588,-35411,0
smoke_single,single,1,6,harmonic,0.600,3,0,205,83821023286,84297373078,84298389370,477366,467366,1
smoke_single,single,1,6,harmonic,0.600,3,1,110,83971023286,84298390370,84300498537,329475,309475,1
smoke_single,single,1,6,harmonic,0.600,3,0,206,83831023286,84308651912,84309626495,478603,468603,1
smoke_single,single,1,6,harmonic,0.600,3,0,207,83841023286,84318878037,84320039578,479016,469016,1
smoke_single,single,1,6,harmonic,0.600,3,1,111,83991023286,84320040995,84321947037,330923,310923,1
smoke_single,single,1,6,harmonic,0.600,3,2,63,84291023286,84321961787,84326006120,34982,-5017,0
smoke_single,single,1,6,harmonic,0.600,3,0,208,83851023286,84326042495,84327137370,476114,466114,1
smoke_single,single,1,6,harmonic,0.600,3,0,209,83861023286,84339593120,84340595162,479571,469571,1
smoke_single,single,1,6,harmonic,0.600,3,1,112,84011023286,84340612037,84342851412,331828,311828,1
smoke_single,single,1,6,harmonic,0.600,3,0,210,83871023286,84348150579,84349158037,478134,468134,1
smoke_single,single,1,6,harmonic,0.600,3,0,211,83881023286,84358991829,84360055162,479031,469031,1
smoke_single,single,1,6,harmonic,0.600,3,1,113,84031023286,84360056537,84362198162,331174,311174,1
smoke_single,single,1,6,harmonic,0.600,3,2,64,84331023286,84362199037,84366727204,35703,-4296,0
smoke_single,single,1,6,harmonic,0.600,3,0,212,83891023286,84366742745,84367786412,476763,466763,1
smoke_single,single,1,6,harmonic,0.600,3,5,8,84331023286,84367787287,84398549079,67525,-252474,0
smoke_single,single,1,6,harmonic,0.600,3,3,32,84331023286,84398557037,84406402620,75379,-4620,0
smoke_single,single,1,6,harmonic,0.600,3,4,16,84331023286,84406404037,84423741579,92718,-67281,0
smoke_single,single,1,6,harmonic,0.600,3,0,213,83901023286,84423789537,84424888662,523865,513865,1
smoke_single,single,1,6,harmonic,0.600,3,1,114,84051023286,84424889162,84426873287,375850,355850,1
smoke_single,single,1,6,harmonic,0.600,3,2,65,84371023286,84426873745,84431104412,60081,20081,1
smoke_single,single,1,6,harmonic,0.600,3,0,214,83911023286,84431115829,84432051079,521027,511027,1
smoke_single,single,1,6,harmonic,0.600,3,0,215,83921023286,84438272287,84439175995,518152,508152,1
smoke_single,single,1,6,harmonic,0.600,3,1,115,84071023286,84439177579,84441245037,370221,350221,1
smoke_single,single,1,6,harmonic,0.600,3,2,66,84411023286,84441259829,84444869454,33846,-6153,0
smoke_single,single,1,6,harmonic,0.600,3,3,33,84411023286,84444870204,84453635037,42611,-37388,0
smoke_single,single,1,6,harmonic,0.600,3,0,216,83931023286,84453674870,84454673912,523650,513650,1
smoke_single,single,1,6,harmonic,0.600,3,0,217,83941023286,84457651079,84458586954,517563,507563,1
smoke_single,single,1,6,harmonic,0.600,3,1,116,84091023286,84458589829,84460633495,369610,349610,1
smoke_single,single,1,6,harmonic,0.600,3,0,218,83951023286,84467696245,84468669704,517646,507646,1
smoke_single,single,1,6,harmonic,0.600,3,0,219,83961023286,84479170495,84480252787,519229,509229,1
smoke_single,single,1,6,harmonic,0.600,3,1,117,84111023286,84480254204,84482241245,371217,351217,1
smoke_single,single,1,6,harmonic,0.600,3,2,67,84451023286,84482242037,84486810079,35786,-4213,0
smoke_single,single,1,6,harmonic,0.600,3,0,220,83971023286,84486903204,84488042829,517019,507019,1
smoke_single,single,1,6,harmonic,0.600,3,0,221,83981023286,84498898370,84499913287,518890,508890,1
smoke_single,single,1,6,harmonic,0.600,3,1,118,84131023286,84499918412,84502021120,370997,350997,1
smoke_single,single,1,6,harmonic,0.600,3,0,222,83991023286,84508298662,84509361704,518338,508338,1
smoke_single,single,1,6,harmonic,0.600,3,0,223,84001023286,84518989204,84520172954,519149,509149,1
smoke_single,single,1,6,harmonic,0.600,3,1,119,84151023286,84520174495,84522418829,371395,351395,1
smoke_single,single,1,6,harmonic,0.600,3,2,68,84491023286,84522419579,84526959745,35936,-4063,0
smoke_single,single,1,6,harmonic,0.600,3,0,224,84011023286,84526975829,84528059204,517035,507035,1
smoke_single,single,1,6,harmonic,0.600,3,3,34,84491023286,84528060204,84535627704,44604,-35395,0
smoke_single,single,1,6,harmonic,0.600,3,4,17,84491023286,84535628620,84550509995,59486,-100513,0
smoke_single,single,1,6,harmonic,0.600,3,0,225,84021023286,84550521787,84551471995,530448,520448,1
smoke_single,single,1,6,harmonic,0.600,3,1,120,84171023286,84551486537,84553542162,382518,362518,1
smoke_single,single,1,6,harmonic,0.600,3,0,226,84031023286,84557960662,84558978787,527955,517955,1
smoke_single,single,1,6,harmonic,0.600,3,1,121,84191023286,84558980120,84560798495,369775,349775,1
smoke_single,single,1,6,harmonic,0.600,3,2,69,84531023286,84560815204,84564566037,33542,-6457,0
smoke_single,single,1,6,harmonic,0.600,3,0,227,84041023286,84567633995,84568729870,527706,517706,1
smoke_single,single,1,6,harmonic,0.600,3,0,228,84051023286,84579163704,84580161204,529137,519137,1
smoke_single,single,1,6,harmonic,0.600,3,1,122,84211023286,84580163454,84582060370,371037,351037,1
smoke_single,single,1,6,harmonic,0.600,3,0,229,84061023286,84588262079,84589386662,528363,518363,1
smoke_single,single,1,6,harmonic,0.600,3,0,230,84071023286,84599058329,84600098329,529075,519075,1
smoke_single,single,1,6,harmonic,0.600,3,1,123,84231023286,84600103870,84602352412,371329,351329,1
smoke_single,single,1,6,harmonic,0.600,3,2,70,84571023286,84602354204,84606934579,35911,-4088,0
smoke_single,single,1,6,harmonic,0.600,3,0,231,84081023286,84606963620,84607933870,526910,516910,1
smoke_single,single,1,6,harmonic,0.600,3,3,35,84571023286,84607935079,84616032037,45008,-34991,0
smoke_single,single,1,6,harmonic,0.600,3,0,232,84091023286,84616112370,84617141662,526118,516118,1
smoke_single,single,1,6,harmonic,0.600,3,1,124,84251023286,84618241870,84620234662,369211,349211,1
smoke_single,single,1,6,harmonic,0.600,3,0,233,84101023286,84628807120,84629841037,528817,518817,1
smoke_single,single,1,6,harmonic,0.600,3,0,234,84111023286,84638873662,84640013704,528990,518990,1
smoke_single,single,1,6,harmonic,0.600,3,1,125,84271023286,84640015412,84642180370,371157,351157,1
smoke_single,single,1,6,harmonic,0.600,3,2,71,84611023286,84642181537,84646247037,35223,-4776,0
smoke_single,single,1,6,harmonic,0.600,3,0,235,84121023286,84646297620,84647243787,526220,516220,1
smoke_single,single,1,6,harmonic,0.600,3,0,236,84131023286,84659694162,84661500704,530477,520477,1
smoke_single,single,1,6,harmonic,0.600,3,1,126,84291023286,84661526162,84663648787,372625,352625,1
smoke_single,single,1,6,harmonic,0.600,3,0,237,84141023286,84667847829,84668908245,527884,517884,1
smoke_single,single,1,6,harmonic,0.600,3,0,238,84151023286,84679118745,84680434162,529410,519410,1
smoke_single,single,1,6,harmonic,0.600,3,1,127,84311023286,84680465537,84682799954,371776,351776,1
smoke_single,single,1,6,harmonic,0.600,3,2,72,84651023286,84682823412,84687183037,36159,-3840,0
smoke_single,single,1,6,harmonic,0.600,3,0,239,84161023286,84687272870,84688239537,527216,517216,1
smoke_single,single,1,6,harmonic,0.600,3,5,9,84651023286,84688241537,84718518245,67494,-252505,0
smoke_single,single,1,6,harmonic,0.600,3,3,36,84651023286,84718543454,84727273495,76250,-3749,0
smoke_single,single,1,6,harmonic,0.600,3,4,18,84651023286,84727279995,84743789912,92766,-67233,0
smoke_single,single,1,6,harmonic,0.600,3,0,240,84171023286,84743880912,84744980245,573956,563956,1
smoke_single,single,1,6,harmonic,0.600,3,1,128,84331023286,84744982120,84746950287,415927,395927,1
smoke_single,single,1,6,harmonic,0.600,3,2,73,84691023286,84746951537,84750733287,59710,19710,1
